Date,Region,Product_Service_Name,Category_Department,Revenue,Cost,Profit,Profit_Margin_pct,Units_Sold,Inventory_Level,Return_Rate_pct,Order_ID,Customer_ID,Customer_Segment,Campaign_Name,Conversion_Rate_pct,Customer_Satisfaction_Score,Average_Order_Value,Month,Quarter,Year,Week_Number
02-07-2024,South,Smart Monitor,Electronics,61810.97,41775.52,20035.45,32.41,191,1648,0.017,ORD-130560,CUST-92234,Online,Spring Promo,0.143,4,323.62,2024-07,2024-Q3,2024,27
11-07-2025,East,Cloud Subscription,Software,81044.64,45121.73,35922.91,44.32,116,,0,ORD-242664,CUST-24757,Wholesale,Q1 Launch,0.076,4,698.66,2025-07,2025-Q3,2025,28
15-07-2024,East,T-Shirt,Apparel,603.12,435.79,167.32,27.74,20,4117,0.026,ORD-947486,CUST-39864,Online,Spring Promo,0.132,4,30.16,2024-07,2024-Q3,2024,29
21-09-2025,North,CRM Suite,Software,213715.81,117125.01,96590.8,45.2,96,,0,ORD-775862,CUST-26894,Retail,Summer Sale,0.034,4,2226.21,2025-09,2025-Q3,2025,38
12-02-2025,South,Installation Service,Services,38190.69,27660.46,10530.23,27.57,273,,0,ORD-177375,CUST-20283,Wholesale,Holiday Sale,0.084,1,139.89,2025-02,2025-Q1,2025,7
18-04-2025,East,Wireless Headphones,Electronics,13912.27,7571.25,6341.02,45.58,19,540,0.029,ORD-147064,CUST-86335,Wholesale,Holiday Sale,0.094,4,732.22,2025-04,2025-Q2,2025,16
17-08-2025,East,Cloud Subscription,Software,585951.94,377967.89,207984.05,35.5,242,,0,ORD-176450,CUST-46098,Wholesale,Q1 Launch,0.049,1,2421.29,2025-08,2025-Q3,2025,33
13-06-2025,South,Premium Support,Services,94787.75,53339.18,41448.57,43.73,167,,0,ORD-877227,CUST-44451,Retail,Holiday Sale,0.094,4,567.59,2025-06,2025-Q2,2025,24
20-09-2024,North,Premium Support,Services,33945.48,25058.55,8886.93,26.18,63,,0,ORD-152574,CUST-53973,Retail,Summer Sale,0.109,5,538.82,2024-09,2024-Q3,2024,38
25-11-2024,East,Data Analytics Tool,Software,506692.55,318387.03,188305.52,37.16,218,,0,ORD-358614,CUST-49417,Retail,Spring Promo,0.115,4,2324.28,2024-11,2024-Q4,2024,48
15-09-2024,North,Polo Shirt,Apparel,926.04,628.48,297.56,32.13,46,4926,0.012,ORD-995454,CUST-60507,Online,Back-to-School,0.11,5,20.13,2024-09,2024-Q3,2024,37
06-08-2025,West,Maintenance Contract,Services,16282.99,10630.18,5652.81,34.72,39,,0,ORD-916616,CUST-53685,Online,Q1 Launch,0.048,5,417.51,2025-08,2025-Q3,2025,32
21-01-2025,North,Data Analytics Tool,Software,35955.61,20691.55,15264.06,42.45,44,,0,ORD-285690,CUST-29566,Online,Spring Promo,0.096,4,817.17,2025-01,2025-Q1,2025,4
08-08-2025,West,ERP Module,Software,104727.49,69522.6,35204.89,33.62,136,,0,ORD-164431,CUST-29767,Online,Back-to-School,0.093,1,770.06,2025-08,2025-Q3,2025,32
18-02-2025,North,E-Reader,Electronics,154202.59,84920.92,69281.67,44.93,155,3877,0.09,ORD-435709,CUST-58491,Retail,Holiday Sale,0.044,5,994.86,2025-02,2025-Q1,2025,8
18-05-2025,South,Premium Support,Services,62185.85,40874.49,21311.36,34.27,258,,0,ORD-983456,CUST-43364,Retail,Q1 Launch,0.117,5,241.03,2025-05,2025-Q2,2025,20
17-09-2024,West,Consulting Hour,Services,43898.04,22911.56,20986.47,47.81,79,,0,ORD-817071,CUST-56351,Online,Holiday Sale,0.128,4,555.67,2024-09,2024-Q3,2024,38
27-01-2025,South,E-Reader,Electronics,15534.69,11347.48,4187.21,26.95,24,1557,0.042,ORD-644672,CUST-80017,Wholesale,Back-to-School,0.088,1,647.28,2025-01,2025-Q1,2025,5
06-08-2024,East,Smart Monitor,Electronics,211470.41,147770.62,63699.79,30.12,284,2373,0.062,ORD-829649,CUST-50923,Retail,Back-to-School,0.085,3,744.61,2024-08,2024-Q3,2024,32
08-09-2025,West,Jacket,Apparel,7574.62,5204.71,2369.91,31.29,214,2714,0.075,ORD-329050,CUST-26908,Retail,Summer Sale,0.055,2,35.4,2025-09,2025-Q3,2025,37
05-05-2025,North,Cloud Subscription,Software,299659.16,182980.17,116678.98,38.94,155,,0,ORD-973922,CUST-91850,Retail,Holiday Sale,0.129,4,1933.28,2025-05,2025-Q2,2025,19
05-09-2024,East,Hoodie,Apparel,17527.47,10876.77,6650.71,37.94,266,330,0.072,ORD-335538,CUST-20178,Online,Holiday Sale,0.123,3,65.89,2024-09,2024-Q3,2024,36
26-07-2025,East,ERP Module,Software,55476.65,34073.38,21403.27,38.58,25,,0,ORD-202296,CUST-58435,Retail,Back-to-School,0.125,4,2219.07,2025-07,2025-Q3,2025,30
10-01-2025,East,Premium Support,Services,25274.66,13332.52,11942.14,47.25,105,,0,ORD-581117,CUST-41673,Retail,Spring Promo,0.105,5,240.71,2025-01,2025-Q1,2025,2
